"PassengerId"	"Survived"	"Pclass"	"Sex"	"Age"	"SibSp"	"Parch"	"Fare"
"1"	1	0	3	"0"	22	1	0	7.25
"2"	2	1	1	"1"	38	1	0	71.2833
"3"	3	1	3	"1"	26	0	0	7.925
"4"	4	1	1	"1"	35	1	0	53.1
"5"	5	0	3	"0"	35	0	0	8.05
"6"	6	0	3	"0"	NA	0	0	8.4583
"7"	7	0	1	"0"	54	0	0	51.8625
"8"	8	0	3	"0"	2	3	1	21.075
"9"	9	1	3	"1"	27	0	2	11.1333
"10"	10	1	2	"1"	14	1	0	30.0708
"11"	11	1	3	"1"	4	1	1	16.7
"12"	12	1	1	"1"	58	0	0	26.55
"13"	13	0	3	"0"	20	0	0	8.05
"14"	14	0	3	"0"	39	1	5	31.275
"15"	15	0	3	"1"	14	0	0	7.8542
"16"	16	1	2	"1"	55	0	0	16
"17"	17	0	3	"0"	2	4	1	29.125
"18"	18	1	2	"0"	NA	0	0	13
"19"	19	0	3	"1"	31	1	0	18
"20"	20	1	3	"1"	NA	0	0	7.225
"21"	21	0	2	"0"	35	0	0	26
"22"	22	1	2	"0"	34	0	0	13
"23"	23	1	3	"1"	15	0	0	8.0292
"24"	24	1	1	"0"	28	0	0	35.5
"25"	25	0	3	"1"	8	3	1	21.075
"26"	26	1	3	"1"	38	1	5	31.3875
"27"	27	0	3	"0"	NA	0	0	7.225
"28"	28	0	1	"0"	19	3	2	263
"29"	29	1	3	"1"	NA	0	0	7.8792
"30"	30	0	3	"0"	NA	0	0	7.8958
"31"	31	0	1	"0"	40	0	0	27.7208
"32"	32	1	1	"1"	NA	1	0	146.5208
"33"	33	1	3	"1"	NA	0	0	7.75
"34"	34	0	2	"0"	66	0	0	10.5
"35"	35	0	1	"0"	28	1	0	82.1708
"36"	36	0	1	"0"	42	1	0	52
"37"	37	1	3	"0"	NA	0	0	7.2292
"38"	38	0	3	"0"	21	0	0	8.05
"39"	39	0	3	"1"	18	2	0	18
"40"	40	1	3	"1"	14	1	0	11.2417
"41"	41	0	3	"1"	40	1	0	9.475
"42"	42	0	2	"1"	27	1	0	21
"43"	43	0	3	"0"	NA	0	0	7.8958
"44"	44	1	2	"1"	3	1	2	41.5792
"45"	45	1	3	"1"	19	0	0	7.8792
"46"	46	0	3	"0"	NA	0	0	8.05
"47"	47	0	3	"0"	NA	1	0	15.5
"48"	48	1	3	"1"	NA	0	0	7.75
"49"	49	0	3	"0"	NA	2	0	21.6792
"50"	50	0	3	"1"	18	1	0	17.8
"51"	51	0	3	"0"	7	4	1	39.6875
"52"	52	0	3	"0"	21	0	0	7.8
"53"	53	1	1	"1"	49	1	0	76.7292
"54"	54	1	2	"1"	29	1	0	26
"55"	55	0	1	"0"	65	0	1	61.9792
"56"	56	1	1	"0"	NA	0	0	35.5
"57"	57	1	2	"1"	21	0	0	10.5
"58"	58	0	3	"0"	28.5	0	0	7.2292
"59"	59	1	2	"1"	5	1	2	27.75
"60"	60	0	3	"0"	11	5	2	46.9
"61"	61	0	3	"0"	22	0	0	7.2292
"62"	62	1	1	"1"	38	0	0	80
"63"	63	0	1	"0"	45	1	0	83.475
"64"	64	0	3	"0"	4	3	2	27.9
"65"	65	0	1	"0"	NA	0	0	27.7208
"66"	66	1	3	"0"	NA	1	1	15.2458
"67"	67	1	2	"1"	29	0	0	10.5
"68"	68	0	3	"0"	19	0	0	8.1583
"69"	69	1	3	"1"	17	4	2	7.925
"70"	70	0	3	"0"	26	2	0	8.6625
"71"	71	0	2	"0"	32	0	0	10.5
"72"	72	0	3	"1"	16	5	2	46.9
"73"	73	0	2	"0"	21	0	0	73.5
"74"	74	0	3	"0"	26	1	0	14.4542
"75"	75	1	3	"0"	32	0	0	56.4958
"76"	76	0	3	"0"	25	0	0	7.65
"77"	77	0	3	"0"	NA	0	0	7.8958
"78"	78	0	3	"0"	NA	0	0	8.05
"79"	79	1	2	"0"	0.83	0	2	29
"80"	80	1	3	"1"	30	0	0	12.475
"81"	81	0	3	"0"	22	0	0	9
"82"	82	1	3	"0"	29	0	0	9.5
"83"	83	1	3	"1"	NA	0	0	7.7875
"84"	84	0	1	"0"	28	0	0	47.1
